exam_id,url,title,question_id
23,https://www.examtopics.com/discussions/amazon/view/153540-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 92 discussion,92
23,https://www.examtopics.com/discussions/amazon/view/153541-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 93 discussion,93
13,https://www.examtopics.com/discussions/amazon/view/153542-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 94 discussion,94
23,https://www.examtopics.com/discussions/amazon/view/153530-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 95 discussion,95
23,https://www.examtopics.com/discussions/amazon/view/153531-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 96 discussion,96
20,https://www.examtopics.com/discussions/amazon/view/153489-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 97 discussion,97
23,https://www.examtopics.com/discussions/amazon/view/153544-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 98 discussion,98
22,https://www.examtopics.com/discussions/amazon/view/153547-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 99 discussion,99
28,https://www.examtopics.com/discussions/amazon/view/153548-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 100 discussion,100
28,https://www.examtopics.com/discussions/amazon/view/153549-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 101 discussion,101
28,https://www.examtopics.com/discussions/amazon/view/153532-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 102 discussion,102
28,https://www.examtopics.com/discussions/amazon/view/153490-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 103 discussion,103
28,https://www.examtopics.com/discussions/amazon/view/153550-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 104 discussion,104
28,https://www.examtopics.com/discussions/amazon/view/153552-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 105 discussion,105
28,https://www.examtopics.com/discussions/amazon/view/153468-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 106 discussion,106
28,https://www.examtopics.com/discussions/amazon/view/153469-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 107 discussion,107
28,https://www.examtopics.com/discussions/amazon/view/153470-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 108 discussion,108
28,https://www.examtopics.com/discussions/amazon/view/153472-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 109 discussion,109
28,https://www.examtopics.com/discussions/amazon/view/153473-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 110 discussion,110
28,https://www.examtopics.com/discussions/amazon/view/153477-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 111 discussion,111
28,https://www.examtopics.com/discussions/amazon/view/153478-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 112 discussion,112
